EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Creekbank Transport a Division of Triangle Freight Services Ltd. (inactive),2006,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,40,38,2,,,,,,,5,5,
Creekbank Transport a Division of Triangle Freight Services Ltd. (inactive),2006,National,Canada,,,Overall,Part-Time,1,1,,,,,,,,,,
Creekbank Transport a Division of Triangle Freight Services Ltd. (inactive),2006,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,1,1,,,,,,,,,,
CWS Logistics Ltd.,2006,National,Canada,,,Overall,Full-Time,54,46,8,2,2,,3,3,,6,5,1
CWS Logistics Ltd.,2006,National,Canada,0,,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
CWS Logistics Ltd.,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
CWS Logistics Ltd.,2006,National,Canada,0,,Clerical Personnel,Full-Time,5,,5,,,,,,,,,
CWS Logistics Ltd.,2006,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,47,44,3,2,2,,3,3,,6,5,1
CWS Logistics Ltd.,2006,National,Canada,,,Overall,Part-Time,7,6,1,,,,,,,1,1,
CWS Logistics Ltd.,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Part-Time,1,1,,,,,,,,,,
CWS Logistics Ltd.,2006,National,Canada,0,,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
CWS Logistics Ltd.,2006,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,5,5,,,,,,,,1,1,
Edge Transportation Services Ltd.,2006,National,Canada,,,Overall,Full-Time,32,30,2,1,1,,,,,,,
Edge Transportation Services Ltd.,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,10,9,1,,,,,,,,,
Edge Transportation Services Ltd.,2006,National,Canada,0,,Clerical Personnel,Full-Time,2,1,1,,,,,,,,,
Edge Transportation Services Ltd.,2006,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,20,20,,1,1,,,,,,,
Edge Transportation Services Ltd.,2006,National,Canada,,,Overall,Part-Time,7,6,1,,,,,,,,,
Edge Transportation Services Ltd.,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Part-Time,6,6,,,,,,,,,,
Edge Transportation Services Ltd.,2006,National,Canada,0,,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Edge Transportation Services Ltd.,2006,Provincial,Saskatchewan,,,Overall,Full-Time,29,27,2,1,1,,,,,,,
Edge Transportation Services Ltd.,2006,Provincial,Saskatchewan,0,,Skilled Crafts and Trades Workers,Full-Time,10,9,1,,,,,,,,,
Edge Transportation Services Ltd.,2006,Provincial,Saskatchewan,0,,Clerical Personnel,Full-Time,2,1,1,,,,,,,,,
Edge Transportation Services Ltd.,2006,Provincial,Saskatchewan,0,,Semi-Skilled Manual Workers,Full-Time,17,17,,1,1,,,,,,,
Edge Transportation Services Ltd.,2006,Provincial,Saskatchewan,,,Overall,Part-Time,7,6,1,,,,,,,,,
