EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
Active Canada Inc.,2008,Provincial,Alberta,0,,,,,,
Active Canada Inc.,2008,Provincial,Newfoundland and Labrador,0,,,,,,
Active Canada Inc.,2008,Provincial,Yukon,0,,,,,,
Active Canada Inc.,2008,Provincial,Northwest Territories,0,,,,,,
Active Canada Inc.,2008,Provincial,Nunavut,0,,,,,,
Active Canada Inc.,2008,CMA,Calgary,0,,,,,,
Active Canada Inc.,2008,CMA,Edmonton,0,,,,,,
Active Canada Inc.,2008,CMA,Halifax,0,,,,,,
Active Canada Inc.,2008,CMA,Montréal,0,,31,,,,
Active Canada Inc.,2008,CMA,Regina,0,,,,,,
Active Canada Inc.,2008,CMA,Toronto,0,,,,,,
Active Canada Inc.,2008,CMA,Vancouver,0,,,,,,
Active Canada Inc.,2008,CMA,Winnipeg,0,,,,,,
Active Transport Inc. (inactive),2008,National,Canada,0,,107,101,0,0,101
Active Transport Inc. (inactive),2008,National,Canada,4841,General Freight Trucking,107,,,,
Active Transport Inc. (inactive),2008,Provincial,Ontario,0,,107,,,,
Active Transport Inc. (inactive),2008,Provincial,Québec,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Nova Scotia,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,New Brunswick,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Manitoba,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,British Columbia,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Prince Edward Island,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Saskatchewan,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Alberta,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Newfoundland and Labrador,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Yukon,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Northwest Territories,0,,,,,,
Active Transport Inc. (inactive),2008,Provincial,Nunavut,0,,,,,,
Active Transport Inc. (inactive),2008,CMA,Calgary,0,,,,,,
Active Transport Inc. (inactive),2008,CMA,Edmonton,0,,,,,,
Active Transport Inc. (inactive),2008,CMA,Halifax,0,,,,,,
Active Transport Inc. (inactive),2008,CMA,Montréal,0,,,,,,
Active Transport Inc. (inactive),2008,CMA,Regina,0,,,,,,
Active Transport Inc. (inactive),2008,CMA,Toronto,0,,107,,,,
Active Transport Inc. (inactive),2008,CMA,Vancouver,0,,,,,,
Active Transport Inc. (inactive),2008,CMA,Winnipeg,0,,,,,,
Adby Transport Limited,2008,National,Canada,0,,126,105,6,0,111
Adby Transport Limited,2008,National,Canada,4841,General Freight Trucking,126,,,,
Adby Transport Limited,2008,Provincial,Ontario,0,,,,,,
Adby Transport Limited,2008,Provincial,Québec,0,,,,,,
Adby Transport Limited,2008,Provincial,Nova Scotia,0,,,,,,
Adby Transport Limited,2008,Provincial,New Brunswick,0,,,,,,
Adby Transport Limited,2008,Provincial,Manitoba,0,,,,,,
Adby Transport Limited,2008,Provincial,British Columbia,0,,,,,,
Adby Transport Limited,2008,Provincial,Prince Edward Island,0,,,,,,
Adby Transport Limited,2008,Provincial,Saskatchewan,0,,2,,,,
Adby Transport Limited,2008,Provincial,Alberta,0,,124,,,,
Adby Transport Limited,2008,Provincial,Newfoundland and Labrador,0,,,,,,
Adby Transport Limited,2008,Provincial,Yukon,0,,,,,,
Adby Transport Limited,2008,Provincial,Northwest Territories,0,,,,,,
Adby Transport Limited,2008,Provincial,Nunavut,0,,,,,,
Adby Transport Limited,2008,CMA,Calgary,0,,10,,,,
Adby Transport Limited,2008,CMA,Edmonton,0,,55,,,,
Adby Transport Limited,2008,CMA,Halifax,0,,,,,,
Adby Transport Limited,2008,CMA,Montréal,0,,,,,,
Adby Transport Limited,2008,CMA,Regina,0,,,,,,
Adby Transport Limited,2008,CMA,Toronto,0,,,,,,
Adby Transport Limited,2008,CMA,Vancouver,0,,,,,,
Adby Transport Limited,2008,CMA,Winnipeg,0,,,,,,
ADM Agri-Industries Ltd.,2008,National,Canada,0,,579,536,18,0,554
ADM Agri-Industries Ltd.,2008,National,Canada,3119,Other Food Manufacturing,579,,,,
