EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,,,Overall,654,445,209,7,6,1,23,15,8,25,14,11
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 15,000 - $19,999",1,,1,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 20,000 - $24,999",1,1,,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",7,5,2,,,,,,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",31,14,17,2,2,,2,,2,2,1,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",27,10,17,,,,,,,1,,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",64,21,43,1,1,,1,,1,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",85,34,51,1,,1,2,1,1,7,1,6
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 45,000 - $49,999",36,16,20,,,,1,1,,2,,2
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 50,000 - $59,999",93,71,22,1,1,,3,2,1,4,3,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 60,000 - $69,999",143,128,15,2,2,,8,6,2,4,4,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 70,000 - $84,999",114,101,13,,,,4,4,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$ 85,000 - $99,999",14,13,1,,,,1,1,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Nova Scotia,4811,Scheduled Air Transportation,"$100,000 and over",38,31,7,,,,1,,1,,,
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,,,Overall,722,485,237,11,6,5,26,18,8,93,61,32
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"Under $15,000",1,,1,,,,,,,1,,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 15,000 - $19,999",1,,1,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 20,000 - $24,999",14,5,9,2,1,1,,,,1,,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",10,2,8,,,,,,,4,,4
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",12,6,6,,,,,,,6,4,2
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",67,53,14,1,1,,1,1,,12,10,2
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",149,46,103,3,1,2,5,1,4,24,12,12
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",127,60,67,3,1,2,8,4,4,11,5,6
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 45,000 - $49,999",7,3,4,,,,,,,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 50,000 - $59,999",80,70,10,,,,,,,14,12,2
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 60,000 - $69,999",93,85,8,1,1,,5,5,,11,9,2
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 70,000 - $84,999",20,19,1,1,1,,3,3,,5,5,
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$ 85,000 - $99,999",6,4,2,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,Provincial,British Columbia,4811,Scheduled Air Transportation,"$100,000 and over",135,132,3,,,,4,4,,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,,,Overall,602,412,190,17,11,6,24,20,4,67,53,14
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 20,000 - $24,999",33,8,25,,,,,,,7,3,4
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",5,3,2,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",32,9,23,2,,2,1,1,,7,2,5
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",46,34,12,1,,1,1,1,,7,7,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",97,19,78,1,,1,2,,2,5,4,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",57,29,28,4,2,2,2,1,1,6,5,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 45,000 - $49,999",8,8,,,,,,,,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 50,000 - $59,999",96,84,12,3,3,,2,1,1,12,9,3
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 60,000 - $69,999",83,76,7,2,2,,7,7,,10,10,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 70,000 - $84,999",29,28,1,1,1,,3,3,,4,4,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$ 85,000 - $99,999",3,3,,,,,,,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Alberta,4811,Scheduled Air Transportation,"$100,000 and over",113,111,2,3,3,,6,6,,6,6,
Jazz Aviation L.P.,2009,Part-Time,National,Canada,,,Overall,467,141,326,14,4,10,12,4,8,49,20,29
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$  5,000 - $ 7,499",1,1,,,,,,,,,,
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$  7,500 - $ 9,999",16,12,4,1,1,,,,,2,1,1
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 10,000 - $12,499",76,28,48,4,,4,,,,12,8,4
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 12,500 - $14,999",67,23,44,4,1,3,1,,1,9,4,5
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 15,000 - $17,499",38,14,24,2,2,,1,1,,4,3,1
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 17,500 - $19,999",37,11,26,,,,1,1,,6,,6
